decoherence;lde_success;probabilistic;measurement_duration;lde_duration;use_swap_gates;network_noise_type;T1_idle;T2_idle;T1_lde;T2_lde;T1_idle_electron;T2_idle_electron;gate;pg;pm;pn;pm_1;fixed_lde_attempts;pulse_duration;noise;basis_transformation_noise;no_single_qubit_error;avg_duration;avg_fidelity;dur_std;fid_entanglement;fid_int;fid_sem;fid_std_l;fid_std_r;iterations;node
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08683156080972958;0.3511810393917402;(0.037038, 0.137446);0.1892264582669743;(0.0631572649218731, 0.36035655962191526);0.0006218144988066034;0.10083952154982001;0.13650481750229004;99984.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.114388686949912;0.3519177960518625;(0.051504, 0.17600400000000002);0.1894730932384133;(0.06319014777824322, 0.3648498651167478);0.0006213834622799369;0.10102058880190107;0.13706920413597112;99984.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.05;0.01;0;0.0;True;False;True;0.08662078112498002;0.346011503485582;(0.037078, 0.136888);0.1825143793569771;(0.06313269870048024, 0.34284907780582174);0.0008391416124562047;0.09550534452519738;0.1282677587590758;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.05;0.01;2000;0.001;True;False;True;0.11456803768602979;0.3455254165848956;(0.051504, 0.17650000000000002);0.18190677073112116;(0.06312557530149118, 0.343275232876465);0.0008324706864071962;0.09502495634370262;0.12909476971627637;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.05;0.05;0;0.0;True;False;True;0.08640702072331573;0.3436932805110133;(0.036842, 0.136804);0.17961660063876567;(0.06312379614756156, 0.338491769944972);0.0008092398792439857;0.09319424359296397;0.12710013544496435;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.05;0.05;2000;0.001;True;False;True;0.11395112650024006;0.3425596607931186;(0.051504, 0.17600400000000002);0.1781995759913992;(0.06316925500573603, 0.3330939233418269);0.0008030647064315954;0.0920242567885301;0.12391547788034257;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.1;0.01;0;0.0;True;False;True;0.08687669215074412;0.34223161437069766;(0.037236, 0.136744);0.17778951796337358;(0.06313975189438675, 0.33347369178975844);0.0008044567321900862;0.09171981285518865;0.12454733906110876;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.1;0.01;2000;0.001;True;False;True;0.11476577640422467;0.34381499964080053;(0.051504, 0.17600400000000002);0.17976874955100017;(0.06311092910815742, 0.33908526693868535);0.0008155971796441371;0.09332625635427438;0.12745321391014797;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.05;0.1;0.05;0;0.0;True;False;True;0.0863241644263082;0.3373524675423616;(0.036898, 0.135798);0.17169058442795276;(0.06313990024400648, 0.3216138232924285);0.0007515570535249743;0.08684054734715657;0.11993859109158106;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.05;0.1;0.05;2000;0.001;True;False;True;0.1144626440230437;0.33575532344934417;(0.051504, 0.17600400000000002);0.1696941543116809;(0.0631215376478152, 0.31262917710797783);0.0007416817153784864;0.08525809333109252;0.11434801823703766;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.05;0.05;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08713120575292048;0.49401831360843146;(0.037042, 0.137556);0.36752289201053945;(0.10665024928926883, 0.6767177266013488);0.0011105476286529887;0.20869811417701523;0.24735586767264872;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.05;0.05;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.11474989606337016;0.4955294841844812;(0.051504, 0.17650000000000002);0.3694118552306003;(0.10706551571212555, 0.6772308231913422);0.0011108424496911922;0.2098770716147808;0.2462551743685925;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.1;0.1;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08647436077772445;0.6083209089524863;(0.036724, 0.137296);0.5104011361906106;(0.23316956467102207, 0.7884594904748887);0.001057649790064912;0.22178525721566839;0.2224466834274249;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.1;0.1;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.1143006356216995;0.6083659615389235;(0.051504, 0.17600400000000002);0.5104574519236508;(0.2343678584212157, 0.7859064560477922);0.0010547721278196948;0.2208716748019482;0.22035920329931302;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.5;0.5;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08669833045287248;0.8234122341530948;(0.037094, 0.137498);0.7792652926913668;(0.6648662398954929, 0.8861655272910347);0.0005067156028805587;0.09151924223670338;0.08552018767973002;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.5;0.5;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.11465139986397824;0.822403746812894;(0.051504, 0.17600400000000002);0.7780046835161162;(0.6642907950869213, 0.8849598445900536);0.0005060029073918092;0.09097111074336006;0.08556412885914577;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;1.0;1.0;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08632709485517683;0.8726293141757223;(0.03685, 0.136654);0.8407866427196564;(0.7785028993607512, 0.9001759554525869);0.00029944748933260264;0.04982699468712237;0.04751145018634606;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;1.0;1.0;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.11462570311249802;0.8713047802285449;(0.051504, 0.17600400000000002);0.8391309752856769;(0.7770520596460148, 0.8988966798491947);0.000299894249901972;0.049663132511732266;0.04781256365081188;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;5.0;5.0;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08649632033125301;0.918418984951803;(0.036938, 0.136552);0.8980237311897511;(0.884715609548471, 0.9110988689564402);7.000821412554391e-05;0.010646497313026138;0.01046011021334925;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;5.0;5.0;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.11443705264842376;0.9173669593321222;(0.051504, 0.17600400000000002);0.8967086991651602;(0.8834713241170002, 0.9097864202761057);6.95999396259972e-05;0.01058990003852267;0.01046217688876172;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;10.0;10.0;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.08675675852136343;0.9246651465658541;(0.037176, 0.137166);0.9058314332073164;(0.8990696058060943, 0.9124489340358986);3.540176262236211e-05;0.0054094619209787975;0.005294000662864673;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;10.0;10.0;10000.0;1.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.11463323931829093;0.9236161712683597;(0.051504, 0.17600400000000002);0.9045202140854556;(0.8978010595597863, 0.9111437107858763);3.598415223441963e-05;0.0053753236205316135;0.005298797360340557;49992.0;Natural Abundance
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.01;0.01;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.10609143923027685;0.3200953330880746;(0.056797999999999994, 0.15635400000000002);0.15011916636009326;(0.06250579503020968, 0.24772235904297485);0.0007696692991156982;0.07009069706390719;0.07808255414630488;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.01;0.01;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.12721712497999682;0.321642163575012;(0.06950400000000001, 0.188);0.15205270446876673;(0.0625064598517239, 0.2516409564169073);0.0007812341287942632;0.0716369956936333;0.07967060155851347;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.05;0.05;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.10644732577212357;0.49545497784139625;(0.05668599999999999, 0.15693600000000002);0.3693187223017422;(0.10716544773214495, 0.6787830373081963);0.0011130867412831092;0.20972261965567973;0.2475714520051614;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.05;0.05;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.12850867094735158;0.4939447467064665;(0.06950400000000001, 0.188);0.3674309333830847;(0.10591040843271866, 0.6766034243833788);0.0011107367910376102;0.2092164199602904;0.24733799280023777;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.1;0.1;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.10619249047847656;0.607350089498072;(0.05666399999999999, 0.15696800000000002);0.5091876118725854;(0.23280034473263078, 0.7858405162661828);0.0010547762184054791;0.2211098137119668;0.2213223235148748;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.1;0.1;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.12714172659625542;0.608186877822971;(0.06950400000000001, 0.188);0.5102335972787134;(0.23666593728086371, 0.7828432578333431);0.0010468318128452631;0.21885412799828002;0.2180877284437035;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.5;0.5;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.10569941318610979;0.8243468521571501;(0.056521999999999996, 0.15632000000000001);0.7804335651964371;(0.6668900835022364, 0.8870886063227774);0.0005050423790436114;0.09083478535536205;0.08532403290107071;49992.0;Purified
